sra_accession,site_name,raw_n_read_pairs,raw_n_bases_approx,raw_mean_percent_gc,raw_mean_mean_seq_len,raw_mean_percent_duplicates,cleaned_n_read_pairs,cleaned_n_bases_approx,cleaned_mean_percent_gc,cleaned_mean_mean_seq_len,cleaned_mean_percent_duplicates
SAMN47830565,"Boston DITP North, MA (MU)",7998613,2415200000.0,50.0,151.0,71.82121712520446,7964899,2296100000.0,50.0,144.15207273814772,72.73620334018665
SAMN47830572,"Boston DITP North, MA (MU)",7998446,2415000000.0,49.0,151.0,67.21853678497092,7957201,2221900000.0,49.0,139.63402972980072,68.25644443389551
SAMN47830580,"Boston DITP North, MA (MU)",7992609,2413500000.0,49.0,151.0,73.67242147122661,7959172,2189300000.0,49.0,137.5472907232059,74.87404211439546
SAMN47830588,"Boston DITP North, MA (MU)",7996717,2414700000.0,47.0,151.0,76.73455778500077,7961844,2244000000.0,46.24992464057321,140.9456043725549,77.81703721454997
SAMN47830597,"Boston DITP North, MA (MU)",7996751,2414600000.0,51.0,151.0,45.836488052346496,7946626,2256600000.0,51.0,141.99788381886853,46.65781102426824
SAMN55014594,"Boston DITP North, MA (MU)",8009336,2418400000.0,50.0,151.0,67.84561781124711,7972342,2275800000.0,50.0,142.75150771253917,68.89073432908025
SAMN55014595,"Boston DITP North, MA (MU)",8011161,2419000000.0,51.0,151.0,64.18718035578931,7975105,2218100000.0,51.0,139.07910441304534,65.44324630181616
SAMN55014596,"Boston DITP North, MA (MU)",8011941,2419200000.0,51.0,151.0,71.18171549446983,7973243,2291300000.0,51.0,143.68524469905157,72.29358833131658
SAMN55014597,"Boston DITP North, MA (MU)",7989781,2412700000.0,50.87500158014343,151.0,78.26062597264652,7959608,2197800000.0,50.0,138.0710399934268,79.57620148077804
SAMN55014598,"Boston DITP North, MA (MU)",8004555,2416800000.0,51.0,151.0,58.73276289769736,7983926,2150500000.0,51.0,134.68140004053143,59.83247390564653
SAMN55014599,"Boston DITP North, MA (MU)",7997472,2414900000.0,50.0,151.0,66.56435736904666,7972895,2085400000.0,50.0,130.79173292762542,67.89673278600569
SAMN55014600,"Boston DITP North, MA (MU)",8007567,2417800000.0,49.0,151.0,33.73545307823683,7970250,2279100000.0,49.0,142.9978221511245,34.49260626649189
SAMN55014601,"Boston DITP North, MA (MU)",8001650,2416200000.0,50.0,151.0,39.723198849656136,7917697,2233400000.0,50.0,141.0547495692245,39.51082650197316
SAMN55014602,"Boston DITP North, MA (MU)",7997370,2414500000.0,50.0,151.0,34.801679651081464,7970153,2289200000.0,50.0,143.62911803575165,34.96957392517203
SAMN55014603,"Boston DITP North, MA (MU)",7996223,2414400000.0,50.0,151.0,42.10593747526064,7931867,2230800000.0,50.0,140.63822559051985,42.11263275069262
SAMN55014604,"Boston DITP North, MA (MU)",7990963,2412800000.0,50.0,151.0,35.95864008157075,7941526,2247700000.0,50.0,141.5411558181639,36.13951850306962
SAMN55014605,"Boston DITP North, MA (MU)",7991531,2412800000.0,50.0,151.0,38.20639367254306,7958898,2291800000.0,50.0,144.0033404122028,38.427389016585884
SAMN55014606,"Boston DITP North, MA (MU)",8018628,2421200000.0,50.0,151.0,32.73262465902599,7971145,2314900000.0,50.0,145.22638654798024,32.838958765297086
SAMN55014607,"Boston DITP North, MA (MU)",8019299,2421500000.0,50.0,151.0,39.05343421678565,7967843,2309900000.0,50.0,144.97103381680589,39.21689982762517
SAMN55014608,"Boston DITP North, MA (MU)",7994471,2413800000.0,50.0,151.0,44.6073043052488,7947178,2346900000.0,50.0,147.66998574840025,44.87490904964592
SAMN55951677,"Boston DITP North, MA (MU)",7998366,2415100000.0,50.62496639938708,151.0,34.827800321268086,7951685,2349700000.0,50.874882241939915,147.7777925056136,35.032480379081946
SAMN55951678,"Boston DITP North, MA (MU)",8001440,2416000000.0,50.0,151.0,31.45754194377186,7929124,2292600000.0,50.0,144.58944720753516,31.638396165887727
SAMN55951679,"Boston DITP North, MA (MU)",7995123,2414000000.0,51.0,151.0,59.13095486672441,7958329,2272100000.0,51.0,142.7640444369666,59.54520202511677
SAMN55951680,"Boston DITP North, MA (MU)",8001617,2416000000.0,50.124996235135974,151.0,40.685442252841696,7951172,2267200000.0,50.87493139376183,142.57580247289332,41.03748256415256
SAMN55951681,"Boston DITP North, MA (MU)",7986470,2411500000.0,50.0,151.0,69.81226265249262,7896388,2294100000.0,50.0,145.27395177389965,69.86391759543274
SAMN55951682,"Boston DITP North, MA (MU)",8009901,2418400000.0,50.0,151.0,30.51016463333238,7983784,2283400000.0,51.0,143.02456447970036,30.625983056823344
SAMN55951683,"Boston DITP North, MA (MU)",8006005,2417400000.0,51.0,151.0,38.1127699746377,7886415,2272800000.0,50.0,144.1119047754905,37.7880478520734
SAMN55951684,"Boston DITP North, MA (MU)",7984045,2410800000.0,52.0,151.0,28.40478097302095,7932452,2370100000.0,52.0,149.41418794592138,28.52187113014388
SAMN55951685,"Boston DITP North, MA (MU)",7988575,2412000000.0,50.0,151.0,36.33551691812013,7851825,2296200000.0,50.0,146.23941013713372,35.87499947370608
SAMN55951686,"Boston DITP North, MA (MU)",7987938,2412000000.0,50.74997214550238,151.0,43.99135500049725,7956058,2260200000.0,51.0,142.05970236768007,44.12519933458545
SAMN55951687,"Boston DITP North, MA (MU)",7997042,2414800000.0,50.0,151.0,67.47471884395837,7948297,2188700000.0,51.0,137.69588315585088,68.25266300071405
SAMN55951688,"Boston DITP North, MA (MU)",7993950,2413700000.0,50.0,151.0,34.489948508766865,7939772,2304700000.0,50.0,145.15184724448008,34.59142724309807
SAMN55951689,"Boston DITP North, MA (MU)",8005090,2417200000.0,51.0,151.0,31.80215114084543,7955496,2274700000.0,51.0,142.97635672244698,31.95193142598044
SAMN55951690,"Boston DITP North, MA (MU)",7998066,2415200000.0,50.0,151.0,48.90474338001558,7967796,2233500000.0,50.0,140.16971010552982,49.40521756512732
SAMN55951691,"Boston DITP North, MA (MU)",7989623,2412300000.0,50.0,151.0,81.06580126142352,7956929,2262900000.0,50.0,142.21083121390174,81.79455942260596
SAMN55951692,"Boston DITP North, MA (MU)",7998974,2415300000.0,51.0,151.0,47.26394455663489,7963214,2286700000.0,51.0,143.5985507233637,47.611352509731205
SAMN55951693,"Boston DITP North, MA (MU)",7990897,2412700000.0,50.0,151.0,43.18655969637109,7945682,2276400000.0,50.0,143.26147673667282,43.64447397983984
